dep_city_name,arr_city_name,dep_city_code,arr_city_code,url,dep_country_code,arr_country_code,Keywords,Search volume
Miri,Kuala Lumpur,MYY,KUL,miri-kuala-lumpur-flights.html,MY,MY,miri to kuala lumpur flights,390
Baltimore,Charlotte,BWI,CLT,baltimore-charlotte-flights.html,US,US,baltimore to charlotte flights,390
Baltimore,Nashville,BWI,BNA,baltimore-nashville-flights.html,US,US,baltimore to nashville flights,390
Venice,Frankfurt,VCE,FRA,venice-frankfurt-flights.html,IT,DE,venice to frankfurt flights,390
Philadelphia,St Louis,PHL,STL,philadelphia-st-louis-flights.html,US,US,philadelphia to st louis flights,390
Memphis,Charlotte,MEM,CLT,memphis-charlotte-flights.html,US,US,memphis to charlotte flights,390
Bangkok,Ubon Ratchathani,BKK,UBP,bangkok-ubon-ratchathani-flights.html,TH,TH,bangkok to ubon ratchathani flights,390
Baltimore,San Diego,BWI,SAN,baltimore-san-diego-flights.html,US,US,baltimore to san diego flights,390
Singapore,Abu Dhabi,SIN,AUH,singapore-abu-dhabi-flights.html,SG,AE,singapore to abu dhabi flights,390
Harare,Lusaka,HRE,LUN,harare-lusaka-flights.html,ZW,ZM,harare to lusaka flights,390
Pune,Abu Dhabi,PNQ,AUH,pune-abu-dhabi-flights.html,IN,AE,pune to abu dhabi flights,390
Madrid,Santiago,MAD,SCQ,madrid-santiago-flights.html,ES,ES,madrid to santiago flights,390
Orlando,Hartford,ORL,HFD,orlando-hartford-flights.html,US,US,orlando to hartford flights,390
Rome,Miami,ROM,MIA,rome-miami-flights.html,IT,US,rome to miami flights,390
Hanoi,Phu Quoc,HAN,PQC,hanoi-phu-quoc-flights.html,VN,VN,hanoi to phu quoc flights,390
Guangzhou,Yiwu,CAN,YIW,guangzhou-yiwu-flights.html,CN,CN,guangzhou to yiwu flights,390
Vancouver,Powell River,YVR,YPW,vancouver-powell-river-flights.html,CA,CA,vancouver to powell river flights,390
Boise,Los Angeles,BOI,LAX,boise-los-angeles-flights.html,US,US,boise to los angeles flights,390
Curacao,Bonaire,CUR,BON,curacao-bonaire-flights.html,CW,BQ,curacao to bonaire flights,390
Raleigh,Tampa,RDU,TPA,raleigh-tampa-flights.html,US,US,raleigh to tampa flights,390
Las vegas,Tucson,LAS,TUS,las-vegas-tucson-flights.html,US,US,las vegas to tucson flights,390
Mackay,Townsville,MKY,TSV,mackay-townsville-flights.html,AU,AU,mackay to townsville flights,390
Cairns,Weipa,CNS,WEI,cairns-weipa-flights.html,AU,AU,cairns to weipa flights,390
Phoenix,Yuma,PHX,YUM,phoenix-yuma-flights.html,US,US,phoenix to yuma flights,390
Phoenix,Long Beach,PHX,LGB,phoenix-long-beach-flights.html,US,US,phoenix to long beach flights,390
Abu Dhabi,Casablanca,AUH,CAS,abu-dhabi-casablanca-flights.html,AE,MA,abu dhabi to casablanca flights,390
Charlotte,San Antonio,CLT,SAT,charlotte-san-antonio-flights.html,US,US,charlotte to san antonio flights,390
Riga,Oslo,RIX,OSL,riga-oslo-flights.html,LV,NO,riga to oslo flights,390
Seattle,Shanghai,SEA,SHA,seattle-shanghai-flights.html,US,CN,seattle to shanghai flights,390
Dammam,Madinah,DMM,MED,dammam-madinah-flights.html,SA,SA,dammam to madinah flights,390
Hyderabad,Muscat,HYD,MCT,hyderabad-muscat-flights.html,IN,OM,hyderabad to muscat flights,390
Philadelphia,Memphis,PHL,MEM,philadelphia-memphis-flights.html,US,US,philadelphia to memphis flights,390
Stockholm,Madrid,STO,MAD,stockholm-madrid-flights.html,SE,ES,stockholm to madrid flights,390
Barcelona,Moscow,BCN,MOW,barcelona-moscow-flights.html,ES,RU,barcelona to moscow flights,390
Tacloban,Cebu,TAC,CEB,tacloban-cebu-flights.html,PH,PH,tacloban to cebu flights,390
Dubrovnik,Dublin,DBV,DUB,dubrovnik-dublin-flights.html,HR,IE,dubrovnik to dublin flights,390
Rome,Los Angeles,ROM,LAX,rome-los-angeles-flights.html,IT,US,rome to los angeles flights,390
Valencia,Barcelona,VLC,BCN,valencia-barcelona-flights.html,ES,ES,valencia to barcelona flights,390
Atlanta,Manchester,ATL,MHT,atlanta-manchester-flights.html,US,US,atlanta to manchester flights,390
Multan,Dubai,MUX,DXB,multan-dubai-flights.html,PK,AE,multan to dubai flights,390
Sydney,Bathurst,SYD,BHS,sydney-bathurst-flights.html,AU,AU,sydney to bathurst flights,390
Singapore,Manado,SIN,MDC,singapore-manado-flights.html,SG,ID,singapore to manado flights,390
Toronto,Salt Lake City,YTO,SLC,toronto-salt-lake-city-flights.html,CA,US,toronto to salt lake city flights,390
Moscow,Simferopol,MOW,SIP,moscow-simferopol-flights.html,RU,UA,moscow to simferopol flights,390
Brussels,Naples,BRU,NAP,brussels-naples-flights.html,BE,IT,brussels to naples flights,390
Islamabad,Riyadh,ISB,RUH,islamabad-riyadh-flights.html,PK,SA,islamabad to riyadh flights,390
Kuala Lumpur,Adelaide,KUL,ADL,kuala-lumpur-adelaide-flights.html,MY,AU,kuala lumpur to adelaide flights,390
Hong Kong,Bangalore,HKG,BLR,hong-kong-bangalore-flights.html,HK,IN,hong kong to bangalore flights,390
Tehran,Tbilisi,THR,TBS,tehran-tbilisi-flights.html,IR,GE,tehran to tbilisi flights,390
Singapore,Miri,SIN,MYY,singapore-miri-flights.html,SG,MY,singapore to miri flights,390
Multan,Jeddah,MUX,JED,multan-jeddah-flights.html,PK,SA,multan to jeddah flights,390
Faro,Belfast,FAO,BFS,faro-belfast-flights.html,PT,GB,faro to belfast flights,390
Johor Bahru,Ipoh,JHB,IPH,johor-bahru-ipoh-flights.html,MY,MY,johor bahru to ipoh flights,390
Chennai,Bahrain,MAA,BAH,chennai-bahrain-flights.html,IN,BH,chennai to bahrain flights,390
Cologne,Barcelona,CGN,BCN,cologne-barcelona-flights.html,DE,ES,cologne to barcelona flights,390
Penang,Jakarta,PEN,JKT,penang-jakarta-flights.html,MY,ID,penang to jakarta flights,390
Singapore,Stockholm,SIN,STO,singapore-stockholm-flights.html,SG,SE,singapore to stockholm flights,390
Seattle,Fort Lauderdale,SEA,FLL,seattle-fort-lauderdale-flights.html,US,US,seattle to fort lauderdale flights,390
Venice,Toronto,VCE,YTO,venice-toronto-flights.html,IT,CA,venice to toronto flights,390
Grand Rapids,New York,GRR,NYC,grand-rapids-new-york-flights.html,US,US,grand rapids to new york flights,390
Cancun,Chicago,CUN,CHI,cancun-chicago-flights.html,MX,US,cancun to chicago flights,390
Oslo,New York,OSL,NYC,oslo-new-york-flights.html,NO,US,oslo to new york flights,390
El Paso,New York,ELP,NYC,el-paso-new-york-flights.html,US,US,el paso to new york flights,390
Malta,Tunis,MLA,TUN,malta-tunis-flights.html,MT,TN,malta to tunis flights,390
Dubrovnik,Prague,DBV,PRG,dubrovnik-prague-flights.html,HR,CZ,dubrovnik to prague flights,390
San Jose,Orlando,SJC,ORL,san-jose-orlando-flights.html,US,US,san jose to orlando flights,390
Beijing,Melbourne,BJS,MEL,beijing-melbourne-flights.html,CN,AU,beijing to melbourne flights,390
Mendoza,Buenos Aires,MDZ,BUE,mendoza-buenos-aires-flights.html,AR,AR,mendoza to buenos aires flights,390
San Diego,Cleveland,SAN,CLE,san-diego-cleveland-flights.html,US,US,san diego to cleveland flights,390
Kuala Lumpur,Lahore,KUL,LHE,kuala-lumpur-lahore-flights.html,MY,PK,kuala lumpur to lahore flights,390
Istanbul,Casablanca,IST,CAS,istanbul-casablanca-flights.html,TR,MA,istanbul to casablanca flights,390
Luang Prabang,Chiang Mai,LPQ,CNX,luang-prabang-chiang-mai-flights.html,LA,TH,luang prabang to chiang mai flights,390
Phoenix,Cincinnati,PHX,CVG,phoenix-cincinnati-flights.html,US,US,phoenix to cincinnati flights,390
Jeddah,New York,JED,NYC,jeddah-new-york-flights.html,SA,US,jeddah to new york flights,390
Manila,Honolulu,MNL,HNL,manila-honolulu-flights.html,PH,US,manila to honolulu flights,390
Dubrovnik,Split,DBV,SPU,dubrovnik-split-flights.html,HR,HR,dubrovnik to split flights,390
Leh,Srinagar,IXL,SXR,leh-srinagar-flights.html,IN,IN,leh to srinagar flights,390
