Carrier_code,carrier_name_en,carrier_name_hi,carrier_name_ar
BM,British Midland Regional,ब्रिटिशमिडलैंडरीजीअनल,بريتيشميدلاندالإقليمي
BP,Air Botswana Corp,एयरबोत्सवानाकॉर्प,شركةبوتسواناللطيران
BR,EVA Corporation,ईवाकोर्पोरेशन,شركةإيفا
BT,Air Baltic,एयरबाल्टिक,طيرانالبلطيق
BV,Blue Panorama Air,ब्लूपैनोरमाएयर,خطوططيرانبلوبانوراما
BW,Carribean Airlines,कैरेबियनएयरलाइंस,الخطوطالجويةالكاريبية
BX,Air Busan,एयरबुसान,طيرانبوسان
C7,Samarkand Airways,समरकंदएयरवेज,سينامونللطيران
C7,Cinnamon Air,सिनेमन एयर,سينامونللطيران
C8,Cargolux Italia,कार्गोलक्सइटालिया,كارغولوكسايطاليا
C9,Cirrus Airlines,सिरसएयरलाइंस,الخطوطالجويةسيروس
CA,Air China,एयरचाइना,خطوطكومينيتيالجوية
CA,Community Airlines,कम्युनिटी एयरलाइंस,خطوطكومينيتيالجوية
CF,City Airline AB,सीटीएयरलाइनएबी,الخطوطالجويةسيتيالمحدودة
CG,PNG Air,पीएनजी एयर,بابواغينياالجديدة
CI,China Airlines,चाईनाएयरलाइंस,خطوطالطيرانالصينية
CM,Copa Airlines,कोपा एयरलाइंस,خطوطكوباالجوية(بنما)
CN,Grand China Air,ग्रांड चाइना एयर,جراندتشايناللطيران
CO,Continental,कोंटीनेंटल,كونتيننتال
CT,Alitalia CityLiner,अल्टालिया शहरलानर,أليطالياسيتيلاينر
CU,Cubana de Aviacion,क्यूबाना डे एविएशन,الخطوطالجويةالكوبية
CX,Cathay Pacific,कैथेपैसिफिक,كاثيباسيفيك
CY,Cyprus Airways,साइप्रसएयरवेज,الخطوطالجويةالقبرصية
CZ,China Southern,चाईना साउथर्न ,خطوطجنوبالصينالجوية
D2,Severstal Aircompany,सेवर्स्टल एयरकंपनी,الخطوطالجويةالدينامية
D2,Dynamic Airways,डायनेमिक एयरवेज,الخطوطالجويةالدينامية
D3,Daallo Airlines,डाल्लोएयरलाइंस,الخطوطالجويةدالو
D4,Alidaunia,अलीडौनीया,أليداونيا
D6,Interair S. Africa,ईंटरएयरएसअफ्रीका,إنترللطيرانجنوبافريقيا
D7,Air Asia X,एयरएशियाएक्स,طيرانآسياX
DC,Braathens Regional,ब्रॉथेन्स रीजनल,براثينزالإقليمي
DD,Nok Air,नॉकएयर,نوكللطيران
DE,Condor,कंडर,كوندور
DG,South East Asian Airlines,साउथईस्टएशियनएयरलाइंस,خطوطسجنوبشرقآسيالجوية
DL,Delta,डेल्टा,دلتا
DN,Deccan Charters,डेक्कन चार्टर्स,خطوطفازوللطيران
DS,easyJet Switzerland,ईजीजेटस्विट्जरलैंड,ايزيجيتسويسرا
DT,TAAG Angola Airlines,टागअंगोलाएयरलाइंस,الخطوطالجويةالأنغولية
DV,SCAT Air,स्केटएयर,سكاتللطيران
DX,Danish Air Transport,डेनिशएयरट्रांसपोर्ट,الدانماركيةللنقلالجوي
DY,Norwegian Shuttle,नार्वीअनशटल,النرويجيةللطيران
E3,Domodedovo Air,डोमोडेवोवो एयर,دوموديدوفوللطيران
E5,Samara Airlines,समेराएयरलाइंस,الخطوطالجويةسامارا
EG,Enerjet,एनरजेट,إينيرجيت
EI,Aer Lingus,एरलींगस,طيرانلينغس
EK,Emirates,अमीरेट्स,طيرانالإمارات
EL,Air Nippon Co,एयरनिप्पॉनको,شركة طيراننيبون
EN,Air Dolomiti,एयरडोलोमीटी,طيراندولوميتي
EP,Iran Aseman Airlines,ईरानएसीमनएयरलाइंस,خطوطإيرانآسمانالجوية
EQ,TAME Linea Aerea del Ecuador,टेमलीनियाएरीयाडेलइक्वाडोर,خطوطتيمالجويةالإكوادورية
