airport_code,city_code,airport_name_en,airport_name_ar,airport_name_hi,Address in English,Address in Arabic,,Email,Phone,Website
BEB,BEB,Benbecula Airport,,,,,,,,
BEG,BEG,Belgrade Nikola Tesla Airport,,,,,,,,
BEJ,BEJ,Baraukalimaru Airport,,,,,,,,
BEL,BEL,Val De Ces International Airport,,,,,,,,
BEM,BGF,Bossembclc Airport,,,,,,,,
BEN,BEN,Benina International Airport,,,,,,,,
BES,BES,Brest Bretagne Airport,,,,,,,,
BET,BET,Bethel Airport,,,,,,,,
BEU,,,,,,,,,,
BEW,BEW,Beira Airport,,,,,,,,
BEY,BEY,Beirut-rafic Hariri International Airport,,,,,,,,
BFC,,,,,,,,,,
BFD,BFD,Bradford Regional Airport,,,,,,,,
BFF,BFF,Western Nebraska Regional Airport,,,,,,,,
BFI,SEA,King County International Airport,,,,,,,,
BFJ,ICI,Ba Airport,,,,,,,,
BFL,BFL,Meadows Field Airport,,,,,,,,
BFN,BFN,Bloemfontein Airport,,,,,,,,
BFQ,,,,,,,,,,
BFS,BFS,Belfast International Airport,,,,,,,,
BFV,BFV,Buri Ram Airport,,,,,,,,
BFX,,,,,,,,,,
BGA,BGA,Palonegro International Airport,,,,,,,,
BGF,BGF,Bangui Mpoko International Airport,,,,,,,,
BGG,,,,,,,,,,
BGI,BGI,Grantley Adams International Airport,,,,,,,,
BGM,BGM,Greater Binghamton Airport,,,,,,,,
BGN,,,,,,,,,,
BGO,BGO,Bergen Airport,,,,,,,,
BGR,BGR,Bangor International Airport,,,,,,,,
BGW,BGW,Baghdad International Airport,,,,,,,,
BGY,MIL,Il Caravaggio International Airport,,,,,,,,
BHB,BHB,Hancock County-bar Harbor Airport,,,,,,,,
BHD,BFS,George Best Belfast City Airport,,,,,,,,
BHE,BHE,Woodbourne Airport,,,,,,,,
BHH,BHH,Bisha Airport,,,,,,,,
BHI,BHI,Comandante Espora Airport,,,,,,,,
BHJ,BHJ,Bhuj Airport,,,,,,,,
BHK,BHK,Bukhara Airport,,,,,,,,
BHM,BHM,Birmingham-shuttlesworth International Airport,,,,,,,,
BHO,BHO,Raja Bhoj International Airport,,,,,,,,
BHQ,,,,,,,,,,
BHR,KON,Bharatpur Airport,,,,,,,,
BHS,,,,,,,,,,
BHV,BHV,Bahawalpur Airport,,,,,,,,
BHX,BHX,Birmingham Airport,,,,,,,,
BHY,BHY,Beihai Airport,,,,,,,,
BIA,BIA,Bastia-poretta Airport,,,,,,,,
BIF,BHM,Biggs Army Air Field Fort Bliss,,,,,,,,
BIK,BIK,Frans Kaisiepo Airport,,,,,,,,
BIL,BIL,Billings Logan International Airport,,,,,,,,
BIM,BIM,South Bimini Airport,,,,,,,,
BIN,WAG,Bamiyan Airport,,,,,,,,
BIO,BIO,Bilbao Airport,,,,,,,,
BIQ,BIQ,Biarritz-anglet-bayonne Airport,,,,,,,,
BIR,BIR,Biratnagar Airport,,,,,,,,
BIS,BIS,Bismarck Municipal Airport,,,,,,,,
BJA,BJA,Soummam Airport,,,,,,,,
BJF,BJF,Btsfjord Airport,,,,,,,,
BJI,BJI,Bemidji Regional Airport,,,,,,,,
BJL,BJL,Banjul International Airport,,,,,,,,
BJM,BJM,Bujumbura International Airport,,,,,,,,
BJR,BJR,Bahir Dar Airport,,,,,,,,
BJT,,,,,,,,,,
BJV,BJV,Milas Bodrum International Airport,,,,,,,,
BJW,,,,,,,,,,
BJX,BJX,Del Bajo International Airport,,,,,,,,
BJZ,BJZ,Badajoz Airport,,,,,,,,
BKC,BET,Buckland Airport,,,,,,,,
BKG,WWK,Branson Airport,,,,,,,,
BKI,BKI,Kota Kinabalu International Airport,,,,,,,,
BKK,BKK,Suvarnabhumi Airport,,,,,,,,
BKL,,,,,,,,,,
BKM,BKM,Bakalalan Airport,,,,,,,,
BKN,,,,,,,,,,
BKO,BKO,Bamako Senou International Airport,,,,,,,,
BKQ,BKQ,Blackall Airport,,,,,,,,
BKS,BKS,Padang Kemiling Fatmawati Soekarno Airport,,,,,,,,
BKW,BKW,Raleigh County Memorial Airport,,,,,,,,
BKY,,,,,,,,,,
BKZ,BKZ,Bukoba Airport,,,,,,,,
BLA,BLA,Generl Jos Antonio Anzotegui International Airport,,,,,,,,
BLB,,,,,,,,,,
BLD,LAS,Boulder City Municipal Airport,,,,,,,,
BLE,,,,,,,,,,
BLI,BLI,Bellingham International Airport,,,,,,,,
BLJ,BLJ,Batna Airport,,,,,,,,
BLK,BLK,Blackpool International Airport,,,,,,,,
BLL,BLL,Billund Airport,,,,,,,,
BLQ,BLQ,Bologna Guglielmo Marconi Airport,,,,,,,,
BLR,BLR,Bengaluru International Airport,,,,,,,,
BLZ,BLZ,Chileka International Airport,,,,,,,,
BMA,STO,Stockholm Bromma Airport,,,,,,,,
BMB,,,,,,,,,,
BME,BME,Broome International Airport,,,,,,,,
BMI,BMI,Central Illinois Regional Airport,,,,,,,,
BMO,BMO,Banmaw Airport,,,,,,,,
BMU,BMU,Muhammad Salahuddin Airport,,,,,,,,
BMV,BMV,Buon Ma Thuot Airport,,,,,,,,
BMW,BMW,Bordj Badji Mokhtar Airport,,,,,,,,
BMY,BMY,Le Art - Waala Airport,,,,,,,,
BNA,BNA,Nashville International Airport,,,,,,,,
BNC,,,,,,,,,,
BND,BND,Bandar Abbas International Airport,,,,,,,,
BNE,BNE,Brisbane Airport,,,,,,,,
BNI,BNI,Benin Airport,,,,,,,,
BNK,BNK,Ballina Byron Gateway Airport,,,,,,,,
BNN,BNN,Brnnysund Airport,,,,,,,,
BNS,BNS,Barinas Airport,,,,,,,,
BNX,BNX,Banja Luka International Airport,,,,,,,,
BNY,BNY,Bellona-anua Airport,,,,,,,,
BOB,BOB,Bora Bora Airport,,,,,,,,
BOC,,,,,,,,,,
BOD,BOD,Bordeaux-mrignac Airport,,,,,,,,
BOG,BOG,El Dorado International Airport,,,,,,,,
BOH,BOH,Bournemouth Airport,,,,,,,,
BOI,BOI,Boise Airport,,,,,,,,
BOJ,BOJ,Burgas Airport,,,,,,,,
BOM,BOM,Chhatrapati Shivaji International Airport,,,,,,,,
BON,BON,Flamingo International Airport,,,,,,,,
BOO,BOO,Bod Airport,,,,,,,,
BOS,BOS,Logan International Airport,,,,,,,,
BOY,BOY,Bobo Dioulasso Airport,,,,,,,,
BPE,,,,,,,,,,
BPL,AKU,Alashankou Bole Bortala Airport,,,,,,,,
BPN,BPN,Sultan Aji Muhamad Sulaiman Airport,,,,,,,,
BPS,BPS,Porto Seguro Airport,,,,,,,,
BPT,BPT,Jack Brooks Regional Airport,,,,,,,,
BPX,BPX,Qamdo Bangda Airport,,,,,,,,
BQB,BQB,Busselton Regional Airport,,,,,,,,
BQJ,,,,,,,,,,
BQK,BQK,Brunswick Golden Isles Airport,,,,,,,,
BQL,,,,,,,,,,
BQN,BQN,Rafael Hernndez Airport,,,,,,,,
BQS,BQS,Ignatyevo Airport,,,,,,,,
BQT,BQT,Brest Airport,,,,,,,,
BRA,PBM,Barreiras Airport,,,,,,,,
BRC,BRC,San Carlos De Bariloche Airport,,,,,,,,
BRD,BRD,Brainerd Lakes Regional Airport,,,,,,,,
BRE,BRE,Bremen Airport,,,,,,,,
BRI,BRI,Bari Karol Wojtya Airport,,,,,,,,
BRL,BRL,Southeast Iowa Regional Airport,,,,,,,,
BRM,BRM,Barquisimeto International Airport,,,,,,,,
BRN,BRN,Bern Airport,,,,,,,,
BRO,BRO,Brownsville-south Padre Island International Airport,,,,,,,,
BRQ,BRQ,Brno-tutmany Airport,,,,,,,,
BRR,BRR,Barra Airport,,,,,,,,
BRS,BRS,Bristol Airport,,,,,,,,
BRU,BRU,Brussels Airport,,,,,,,,
BRW,BRW,Wiley Post-will Rogers Memorial Airport,,,,,,,,
BSA,BSA,Bosaso Airport,,,,,,,,
BSB,BSB,Braslia International Airport,,,,,,,,
BSC,,,,,,,,,,
BSD,YNO,Baoshan Yunduan Airport,,,,,,,,
BSG,BSG,Bata Airport,,,,,,,,
BSK,BSK,Biskra Airport,,,,,,,,
BSL,BSL,Euroairport Basel-mulhouse-freiburg Airport,,,,,,,,
BSO,BSO,Basco Airport,,,,,,,,
BSR,BSR,Basrah International Airport,,,,,,,,
BST,WAG,Bost Airport,,,,,,,,
BTC,CMB,Batticaloa Airport,,,,,,,,
BTH,BTH,Hang Nadim Airport,,,,,,,,
BTI,,,,,,,,,,
BTJ,BTJ,Sultan Iskandar Muda International Airport,,,,,,,,
BTK,,,,,,,,,,
BTM,BTM,Bert Mooney Airport,,,,,,,,
BTR,BTR,Baton Rouge Metropolitan Airport,,,,,,,,
BTS,BTS,Bratislava Airport,,,,,,,,
BTT,,,,,,,,,,
BTU,BTU,Bintulu Airport,,,,,,,,
BTV,BTV,Burlington International Airport,,,,,,,,
BUA,BUA,Buka Airport,,,,,,,,
BUC,,,,,,,,,,
BUD,BUD,Budapest Ferenc Liszt International Airport,,,,,,,,
BUF,BUF,Buffalo Niagara International Airport,,,,,,,,
BUN,BUN,Gerardo Tobar Lpez Airport,,,,,,,,
BUQ,BUQ,Joshua Mqabuko Nkomo International Airport,,,,,,,,
BUR,BUR,Bob Hope Airport,,,,,,,,
BUS,BUS,Batumi International Airport,,,,,,,,
BUW,KOE,Betoambari Airport,,,,,,,,
BUX,,,,,,,,,,
BUZ,BUZ,Bushehr Airport,,,,,,,,
BVA,PAR,Beauvais-till Airport,,,,,,,,
BVB,BVB,Boa Vista International Airport,,,,,,,,
BVC,BVC,Rabil Airport,,,,,,,,
BVE,BVE,Brive-la Roche Airport,,,,,,,,
BVG,BVG,Berlevg Airport,,,,,,,,
BVH,,,,,,,,,,
BVI,BVI,Birdsville Airport,,,,,,,,
BWA,BWA,Bhairahawa Airport,,,,,,,,
BWE,,,,,,,,,,
BWI,BWI,Baltimore-washington International Airport,,,,,,,,
BWK,BWK,Bol Airport,,,,,,,,
BWN,BWN,Brunei International Airport,,,,,,,,
BWT,BWT,Wynyard Airport,,,,,,,,
BWX,,,,,,,,,,
BXB,,,,,,,,,,
BXU,BXU,Bancasi Airport,,,,,,,,
BYK,ABJ,Bouakc Airport,,,,,,,,
BYM,,,,,,,,,,
BYO,,,,,,,,,,
BYP,,,,,,,,,,
BZE,BZE,Philip S W Goldson International Airport,,,,,,,,
BZG,BZG,Bydgoszcz Ignacy Jan Paderewski Airport,,,,,,,,
BZL,VTZ,Barisal Airport,,,,,,,,
BZN,BZN,Bozeman Yellowstone International Airport,,,,,,,,
BZR,,,,,,,,,,
BZV,BZV,Maya Maya Airport,,,,,,,,
CAB,,,,,,,,,,
CAC,CAC,Cascavel Airport,,,,,,,,
CAE,CAE,Columbia Metropolitan Airport,,,,,,,,
CAG,CAG,Cagliari Elmas Airport,,,,,,,,
CAH,CAH,C Mau Airport,,,,,,,,
CAI,CAI,Cairo International Airport,,,,,,,,
CAK,CAK,Akron-canton Airport,,,,,,NA,,
CAL,CAL,Campbeltown Airport,,,,,,,,
CAN,CAN,Guangzhou Baiyun International Airport,,,,,,,,
CAP,,,,,,,,,,
CAW,,,,,,,,,,
CAY,CAY,Cayenne - Flix Ebou Airport,,,,,,,,
CAZ,,,,,,,,,,
CBB,CBB,Jorge Wilstermann International Airport,,,,,,,,
CBG,CBG,Cambridge Airport,,,,,,,,
CBH,CBH,Bcchar Boudghene Ben Ali Lotfi Airport,,,,,,,,
CBI,,,,,,,,,,
CBO,CBO,Awang Airport,,,,,,,,
CBQ,CBQ,Margaret Ekpo International Airport,,,,,,,,
CBR,CBR,Canberra International Airport,,,,,,,,
CBT,,,,,,,,,,
CCC,CCC,Jardines Del Rey Airport,,,,,,,,
CCF,,,,,,,,,,
CCJ,CCJ,Calicut International Airport,,,,,,,,
CCK,PBO,Cocos Keeling Islands Airport,,,,,,,,
CCM,,,,,,,,,,
CCN,WAG,Chakcharan Airport,,,,,,,,
CCP,CCP,Carriel Sur International Airport,,,,,,,,
CCS,CCS,Simn Bolvar International Airport,,,,,,,,
CCU,CCU,Netaji Subhash Chandra Bose International Airport,,,,,,,,
CCV,CCV,Craig Cove Airport,,,,,,,,
CDB,CDB,Cold Bay Airport,,,,,,,,
CDC,CDC,Cedar City Regional Airport,,,,,,,,
CDG,PAR,Charles De Gaulle Airport,,,,,,,,
CDR,CDR,Chadron Municipal Airport,,,,,,,,
CDT,,,,,,,,,,
CDV,CDV,Merle K Mudhole Smith Airport,,,,,,,,
CEB,CEB,Mactan-cebu International Airport,,,,,,,,
CEC,CEC,Del Norte County Airport,,,,,,,,
CED,,,,,,,,,,
CEE,,,,,,,,,,
CEG,,,,,,,,,,
CEI,CEI,Chiang Rai International Airport,,,,,,,,
CEK,CEK,Chelyabinsk Balandino Airport,,,,,,,,
CEM,,,,,,,,,,
CEN,CEN,Ciudad Obregn International Airport,,,,,,,,
CEZ,CEZ,Cortez Municipal Airport,,,,,,,,
CFB,,,,,,,,,,
CFE,CFE,Clermont-ferrand Auvergne Airport,,,,,,,,
CFG,,,,,,,,,,
CFK,,,,,,,,,,
CFN,CFN,Donegal Airport,,,,,,,,
CFR,CFR,Caen-carpiquet Airport,,,,,,,,
CFS,CFS,Coffs Harbour Airport,,,,,,,,
CFU,CFU,Corfu International Airport,,,,,,,,
CGA,YCK,Craig Seaplane Base,,,,,,,,
CGB,CGB,Marechal Rondon International Airport,,,,,,,,
CGD,CGD,Changde Airport,,,,,,,,
CGH,SAO,Congonhas-so Paulo Airport,,,,,,,,
CGI,CGI,Cape Girardeau Regional Airport,,,,,,,,
CGK,JKT,Soekarno-hatta International Airport,,,,,,,,
CGM,CGM,Camiguin Airport,,,,,,,,
CGN,CGN,Cologne Bonn Airport,,,,,,,,
CGO,CGO,Xinzheng Airport,,,,,,,,
CGP,CGP,Shah Amanat International Airport,,,,,,,,
CGQ,CGQ,Longjia Airport,,,,,,,,
CGR,CGR,Campo Grande Airport,,,,,,,,
CGY,CGY,Laguindingan International Airport,,,,,,,,
CHA,CHA,Chattanooga Metropolitan Airport,,,,,,,,
CHC,CHC,Christchurch International Airport,,,,,,,,
CHG,CHG,Chaoyang Airport,,,,,,,,
CHO,CHO,Charlottesville-albemarle Airport,,,,,,,,
CHQ,CHQ,Chania International Airport,,,,,,,,
CHR,,,,,,,,,,
CHS,CHS,Charleston International Airport,,,,,,,,
CHT,,,,,,,,,,
CHU,,,,,,,,,,
CHX,,,,,,,,,,
CHY,BNY,Choiseul Bay Airport,,,,,,,,
CIA,ROM,Ciampino-g B Pastine International Airport,,,,,,,,
CID,CID,The Eastern Iowa Airport,,,,,,,,
CIF,CIF,Chifeng Airport,,,,,,,,
CIH,CIH,Changzhi Airport,,,,,,,,
CIJ,CIJ,Capitn An-bal Arab Airport,,,,,,,,
CIK,,,,,,,,,,
CIT,CIT,Shymkent Airport,,,,,,,,
CIU,CIU,Chippewa County International Airport,,,,,,,,
CIX,CIX,Cap Fap Jos A Quiones Gonzles International Airport,,,,,,,,
