city_code,city_name_en,city_name_ar,city_name_hi
AUG,Augusta,أوغستا,ऑगस्ता 
AUH,Abu Dhabi,أبو ظبي,अबु धाबी
AUK,Alakanuk,,अलाकानुक
AUQ,Hiva Oa,هيفا أوآ,हिवा ओवा
AUR,Aurillac,أوريلاك,आरिलेक
AUS,Austin,أوستن,ऑस्टिन
AUW,Wausau,,वोसौऊ 
AUX,Araguaina,,एरागयाना
AUY,Anelghowhat,آنيلهو وات,अनलगौहाट
AVA,"","",""
AVL,Asheville Hendersonville,آشفيل / هينديرسونفيل,एशविल हेंडरसनविल
AVN,Avignon,أفينيون,आविनॉन
AVP,Scranton Wilkes Barre,سكرانتون ويلكس بار,स्क्रैंटन विल्केस-बेरे
AWA,Awasa,,अवासा
AWD,Aniwa,أنيوا,अनिवा
AWZ,Ahwaz,الأحواز,अहवाज़
AXA,Anguilla,أنغيلا,एंगुइला
AXD,Alexandroupolis,أليكساندروبولي,अलेक्सैंड्रोपोलिस
AXF,"","",""
AXJ,"","",""
AXM,Armenia,أرمينيا,आर्मीनिया
AXP,Spring Point,سبرينغ سبوت,स्प्रिंग प्वाइंट
AXR,Arutua,آروتوا,अरुतुअा
AXT,Akita,أكيتا,अकिता
AXU,Axum,أكسوم,एक्सम
AYM,"","",""
AYP,Ayacucho,أياكوتشو,आइयकचो
AYQ,Ayers Rock,آيرز روك,एयर्स रॉक
AYT,Antalya,أنطاليا,आंटलीया
AZD,Yazd,يزد,याज़ड
AZN,Andizhan,أنديجان,अंडीज़ान
AZO,Kalamazoo,كالامازو,कालामाजू 
AZR,Adrar,أدرار,अदरार
AZS,Samana,سمانا,समाना
BAH,Bahrain,البحرين,बहेरेन
BAK,Baku,,बाकू
BAL,Batman,,बैटमैन
BAQ,Barranquilla,بارانكويلا,बैरेंक्विला
BAR,"","",""
BAS,Ballalae,بالالاي,बॅललयी
BAV,Baotou,باوتو,बाओटौ
BAX,Barnaul,بارناول,बर्नऊल
BBA,Balmaceda,بلماسيدا,बाल्म्सेडा
BBG,"","",""
BBI,Bhubaneswar,بوبانسوار,भुवनेश्वर
BBK,Kasane,كاسان,कसेन
BBN,Bario,باريو,बरिओ
BBO,Berbera,,बेरबेरा
BCA,Baracoa Playa,,बारकोआ प्लाइया
BCD,Bacolod,باكولود,बकोलोड
BCI,Barcaldine,باركالدين,बर्कालडिन
BCM,Bacau,باكاو,बकौ
BCN,Barcelona,برشلونة,बार्सिलोना
BCO,"","",""
BCU,"","",""
BCV,Belmopan,,बेल्मोपान
BDA,Bermuda Hamilton,برمودا / هاملتون,बरमूडा हैमिल्टन
BDB,Bundaberg,بوندابرج,बुंडाबर्ग
BDH,Bandar Lengeh,بندر لنجة,बंदर लेंगेह
BDJ,Banjarmasin,بانجارماسين,बंजरमासिन 
BDO,Bandung,باندونغ,बांडुंग
BDP,Chandragarhi,,चांद्रगरही
BDQ,Vadodara,فادودارا,वडोदरा
BDS,Brindisi,برينديزي,ब्रिंडिसि
BDU,Bardufoss,باردوفوس,बार्दुफॉस्स
BEB,Benbecula,بينبيكولا,बेन्बेक्युला
BEG,Belgrade,بلغراد,बेलग्रेड
BEJ,Tanjung Redep Borneo Island,جزيرة تانجونج ريديب بورنيو,टनजंग रेडेप बोर्नियो आइलॅंड
BEL,Belem,بيليم,बेलेम
BEM,"","",""
BEN,Benghazi,بنغازي,बेंगाज़ी
BER,Berlin,برلين,बर्लिन
BES,Brest,بريست,ब्रेस्ट
BET,Bethel,بيثيل,बेतेल
BEU,Bedourie,,बेडरी
BEW,Beira,بيرا,बीरा
BEY,Beirut,بيروت,बेरूत
BEZ,"","",""
BFC,"","",""
BFD,Bradford,برادفورد,ब्रैडफोर्ड
BFF,Scottsbluff,سكوتسبلوف,स्कॉटस्ब्लफ़ 
BFJ,Bijie,,बीजीए
BFL,Bakersfield,بيكرسفيلد,बेकर्सफील्ड
BFN,Bloemfontein,بلومفونتين,ब्लोइमफोंटेइन
BFQ,Bahia Pi¤a,,बाहिया पीया
BFS,Belfast,بلفاست,बेलफास्ट
BFV,Buri Ram,بوري رام,बुरी राम
BFX,Bafoussam,,बाफौसम
BGA,Bucaramanga,بوكارامانغا,बुकरमंगा
BGC,"","",""
BGF,Bangui,بانغي,बांगुइ
BGG,Bingol,,बिंगोल
BGI,Bridge Town,بريدج تاون,ब्रिज टाउन
BGM,Binghamton Endicott Johnson City,بينغهامتون / إنديكوت / جونسون سيتي,बिगॅम्टन एनडिकॉट जॉनसन सिटी
BGN,"","",""
BGO,Bergen,بيرغن,बर्गन
BGR,Bangor,بانجور,बेंगोर
BGW,Baghdad,بغداد,बगदाद
BHB,Bar Harbor,بار هاربر,बार हार्बर
BHE,Woodbourne,وودبورن,वुडबॉर्न
BHH,Bisha,بيشة,बिशा
BHI,Bahia Blanca,باهيا بلانكا,बहिआ  ब्लांका
BHJ,Bhuj,بوج,भुज
BHK,Bukhara,بخارى,बुखारा
BHM,Birmingham,برمنغهام,बर्मिंघम
BHO,Bhopal,بوبال,भोपाल
BHQ,Broken Hill,,ब्रोकन हिल
BHR,Bharatpur,,भरतपुर
BHS,Bathurst,,बाथर्स्ट
BHU,"","",""
BHV,Bahawalpur,باهاوالبور,बहावलपुर
BHX,Birmingham,برمنغهام,बर्मिंघम
BHY,Beihai,بيهاي,बिहाई
BHZ,Belo horizonte belo horizon,بيلو هوريزونتي / بيلو هوريزون,बेलो हॉरिज़ॉंट बेलो हराइज़न
BIA,Bastia,باستيا,बस्तिया
BIK,Biak,بياك,बिआक
BIL,Billings,بيلينغز,बिलिंग्स
BIM,Alice Town,أليس تاون,अलाइस टाउन
BIN,Bamyan,,बामयान
BIO,Bilbao,بلباو,बिलबाओ
BIQ,Biarritz Bayonne,بياريتز- بايون,बायारिट्ज़ बेयोन
BIR,Biratnagar,بيراتناغار,बिराटनगर
BIS,Bismarck,بسمارك,बिस्मार्क
BJA,Bejaja,بجاية,बेजाजा
BJB,"","",""
BJF,Batsfjord,باتسفجورد,बाटसफजोर्ड
BJI,Bemidji,بيميدجي,बेमिड्जी
BJL,Banjul,بانجول,बांजुल
BJM,Bujumbura,بوجمبورا,बुजुंबुरा
BJR,Bahar Dar,بحر دار,बहार डार
BJS,Beijing,,बीजिंग
BJT,Bentota,,बेंटोटा
BJV,"","",""
BJW,"","",""
BJX,Leon Guanajuato,ليون / غواناخواتو,लियोन गुआनाजुअतो
BJZ,Badajoz,بطليوس,बडाजोज़
BKB,"","",""
BKC,Buckland,,बकलैंड
BKG,Branson,,ब्रैनसन
BKI,Kota Kinabalu,كوتا كينابالو,कोटा किनबालु
BKK,Bangkok,بانكوك,बैंकाक
BKM,Bakalalan,باكيلالان,बकलालन
BKN,Balkanabat,,बॉलकनबात
BKO,Bamako,باماكو,बमाको
BKQ,Blackall,بلاكال,ब्लॅकल
BKS,Bengkulu,بنجكولو,बेंग्कुलु
BKW,Beckley,بيكلي,बेकलेय
BKY,Bukavu-kavumu,,बुकाऊ-काउमु
BKZ,Bukoba,بوكوبا,बुक़ोबा
BLA,Barcelona,برشلونة,बार्सिलोना
BLB,"","",""
BLE,Borlange,,बॉरलॅंज
BLI,Bellingham,بيلينجهام,बेलिंघम
BLJ,Batna,باتنة,बटना
BLK,Blackpool,بلاكبول,ब्लैकपूल
BLL,Billund,بيلوند,बिलुंड
BLQ,Bologna,بولونيا,बोलोग्ना
BLR,Bangalore,بنغالور,बैंगलोर
BLZ,Blantyre,بلانتير,ब्लांटायर
BMB,"","",""
BME,Broome,بروم,ब्रूम
BMI,Bloomington Normal,بلومنغتن - نورمال,ब्लूमिंगटन नॉर्मल
BMO,Banmaw,بانماو,बनमव
BMU,Bima,بيما,बीमा
BMV,Buonmethuot,بون ما ثوت,बुवनमेट्ओत
BMW,Bordj Badji Mokhtar,برج باجي مختار,बोर्द्ज बड़जी मुख्तार
BMY,Waala,والا,वाला
BNA,Nashville,ناشفيل,नैशविले
BNC,"","",""
BND,Bandar Abbas,بندر عباس,बंदर अब्बास
BNE,Brisbane,بريسبان,ब्रिस्बेन
BNI,Benin,بنين,बेनिन
BNK,Ballina Byron Bay,بالينا - خليج بايرون,बालिना बायरन बे
BNN,Bronnoysund,برونويسوند,ब्रोनोयसूंड
BNS,Barinas,باريناس,बरिनस
BNX,Banja Luka,بانيا لوكا,बंजा लुका
BNY,Bellona,بيلونا,बेलोना
BOB,Bora bora,بورا بورا,बोरा बोरा
BOC,Bocas Del Toro,,बोकस डेल टोरो
BOD,Bordeaux,بوردو,बोर्डो
BOG,Bogota,بوغوتا,बोगोटा
BOH,Bournemouth,بورنموث,बोर्नमाउथ
BOI,Boise,بويز,बोइसे
BOJ,Bourgas,بورجاس,बौरगास
BOM,Mumbai,مومباي,मुंबई
BON,Bonaire,بونير,बोनैरे
BOO,Bodo,بودو,बोडो
BOS,Boston,بوسطن,बोस्टान
BOY,Bobo Dioulasso,بوبو ديولاسو,बोबो डायलसो
BPE,Bagan,,बागान
BPG,"","",""
BPL,"","",""
BPN,Balikpapan,باليكبابان,बलिकपापन
BPS,Porto Seguro,بورتو سيغورو,पोर्टो सेगुरो
BPT,Beaumont,بومونت,बाउमेंट
BPX,Bangda,بانغدا,बांगड़ा
BQB,Bussellton,بوسلتون,बसेल्टॉन
BQG,"","",""
BQH,"","",""
BQJ,"","",""
BQL,Boulia,,बोलिआ
BQN,Aguadilla,أجوديلا,अगुआड़िल्ला
BQS,Blagoveschensk,بلاغوفيشتشينسك,ब्लागोवेस्चेनसक
BQT,Brest,بريست,ब्रेस्ट
BRA,Barreiras,,बार्रेयरस
BRC,San Carlos De Bariloch,سان كارلوس دي باريلوتشي,सॅन कार्लोस दे बेरिलॉक
BRD,Brainerd,برينرد,ब्रेनर्ड
BRE,Bremen,بريمن,ब्रेमेन
BRI,Bari,باري,बरी
BRL,Burlington,برلنغتون,बर्लिंगटन
BRM,Barquisimeto,باركيسيميتو,बारकिसीमेटो
BRN,Berne,برن,बर्न
BRO,Brownsville,براونزفيل,ब्रौनस्वील्ल
BRQ,Turany,توراني,तुरानी
BRR,Barra,بارا,बारा
BRS,Bristol,بريستول,ब्रिस्टल
BRU,Brussels,بروكسل,ब्रसेल्स
BRW,Barrow,بارو,बॅरो
BSA,Bosaso,بوساسو,बोसासो
BSB,Brasilia,برازيليا,ब्रासीलिया
BSC,Bahia Solano,,बाहीया सोलानो
BSD,Baoshan,,बाओशान
BSG,Bata,باتا,बाटा
BSK,Biskra,بسكرة,बिस्क्रा
BSO,Basco,باسكو,बास्को
BSR,Basrah,البصرة,बसरा
BST,Lashkar Gah,,लश्कर गाह
BTC,"","",""
BTH,Batam,باتام,बेटम
BTI,Barter Island,,बार्टर आइलैंड
BTJ,Banda Aceh,باندا آتشيه,बांदा आचे
BTK,Bratsk,,ब्राट्स्क
BTM,Butte,بوتي,बियूट
BTR,Baton Rouge,باتون روج,बेटॉन रूज
BTS,Bratislava,براتيسلافا,ब्रातिस्लावा
BTT,Bettles,,बेटल्स
BTU,Bintulu,بينتولو,बिंतुलु
BTV,Burlington,برلنغتون,बर्लिंगटन
BTW,"","",""
BUA,Buka Island,جزيرة بوكا,बुका आइलैंड
BUC,Burketown,,बर्केटॉवन्
BUD,Budapest,بودابست,बुडापेस्ट
BUE,Buenos Aires,بوينس آيرس,बुएनोस एयर्स
BUF,Buffalo,بوفالو,बफेलो
BUH,Bucharest,بوخارست,ब्यूकरेस्ट
BUN,Buenaventura,بوينافينتورا,बुएनवेंटूरा
BUP,"","",""
BUQ,Bulawayo,بولاوايو,बुलावायो
BUR,Burbank,بوربانك,बरबंक
BUS,Batumi,باتومي,बतुमि
BUT,"","",""
BUW,"","",""
BUX,Bunia,,बुनिया
BUZ,Bushehr,بوشهر,बुशेहर
BVB,Boa Vista,بوا فيستا,बोआ विस्टा
BVC,Boa Vista,بوا فيستا,बोआ विस्टा
BVE,Brive,بريف,ब्राइव
BVG,Berlevag,بيرليفاج,बर्लेवॉग
BVH,Vilhena,,विलहेना
BVI,Birdsville,بيردزفيل,बर्ड्सविल्ल
BWA,Bhairawa,بهايراهاوه,भैरवा
BWE,Braunschweig,,ब्रौंसचवेइग
BWI,Baltimore,بالتيمور,बाल्टीमोर
BWK,Brac,براك,ब्रॅक
BWN,Bandar Seri Begawan,بندر سيري بيغاوان,बंदर सेरी बेगावान
BWT,Burnie,بورني,बर्नी
BWX,"","",""
BXB,Babo,,बाबो
BXH,"","",""
BXN,Bodrum,,बोडरम
BXR,"","",""
BXU,Butuan,بوتوان,बूटुआन 
BXY,"","",""
BYC,"","",""
BYK,Bouake,,बौआके
BYM,Bayamo,,बेयामो
BYO,Bointo,,बॉइंटो
BYP,"","",""
BZE,Belize City,بيليز سيتي,बेलीझ सिटी
BZG,Bydgoszcz,بيدغوستيا,ब्यङ्गोस्ज़कज़ 
BZK,"","",""
BZL,Barisal,,बॅरिसल
BZN,Bozeman,بوزمان,बोजेमन
BZR,Beziers,,बेज़िएर
BZV,Brazzaville,برازافيل,ब्राज़ाविल
CAB,Cabinda,,काबिन्दा
CAC,Cascavel,كازكافيل,कास्कावेल
CAE,Columbia,كولومبيا,कोलंबिया
CAG,Cagliari,كالياري,कैग्लिआरी
CAH,Ca Mau,كا ماو,का माऊ
CAI,Cairo,القاهرة,कैरो
CAK,Akron,اكرون,अक्रोन
CAL,Campbeltown,كامبيلتاون,कँपबेलटाउन
CAN,Guangzhou,قوانغتشو,ग्वंगज़्यू
CAP,Cap Haitien,,कैप हाईटीएन
CAS,Casablanca,الدار البيضاء,कैसाब्लांका
CAT,"","",""
CAW,Campos,,कैम्पोस
CAY,Cayenne,كايين,कैयान
CAZ,Cobar,,कोबार
CBB,Cochabamba,كوتشابامبا,कॉकॅबंबा
CBG,Cambridge,كامبريدج,केंब्रिड्ज
CBH,B Char,ب تشار,बी चार
CBI,"","",""
CBL,"","",""
CBO,Cotabato,كوتاباتو,कोटाबटो
CBQ,Calabar,كالابار,कैलबर
CBR,Canberra,كانبيرا,कॅनबेरा
CBT,Catumbela,,कटुंबेला
CCA,"","",""
CCC,Cayo Coco,كايو كوكو,कायो कोको
CCF,Carcassonne,,कार्कसॉन
CCJ,Calicut,كاليكوت,कालीकट
CCK,Cocos Keeling Island,,कोकोस कीलिंग आइलैंड
CCM,Criciuma,,कृषियमा
CCN,Chaghcharan,,छघचारण
CCP,Concepcion,كونسيبسيون,कॉन्सेप्सियन
CCR,"","",""
CCS,Caracas,كراكاس,कराकस
CCU,Kolkata,كلكتا,कोलकाता
CCV,Craig Cove,كريغ كوف,क्रेग कोव
CDB,Cold Bay,كولدباي,कोल्ड बे
CDC,Cedar City,سيدار سيتي,सीडर सिटी
CDE,"","",""
CDR,Chadron,شادرون,चॅडरन
CDT,"","",""
CDV,Cordova,كوردوفا,कोरडोवा
CEB,Cebu,سيبو,सेबू
CEC,Crescent City,كريسنت سيتي,क्रिसेंट सिटी
CED,Ceduna,سيدونا,सेडूना
CEE,Cherepovets,,चेरेपोवेट्स
CEG,Hawarden,,हर्डन
CEI,Chiang Rai,شيانغ راي,च्यांग राय
CEK,Chelyabinsk,تشيليابنسك,चेल्याबिंस्क
CEM,Central,,सेंट्रल
CEN,Ciudad Obregon,,सिउदाद ओब्रेगॉन
CEZ,Cortez,كورتيز,कोरटेज
CFB,Cabo Frio,,काबो फ्रिओ
CFE,Clermont Ferrand,كليرمون فيران,क्लेरमोंट फेर्रैंड
CFG,Cienfuegos,,सीएंफुएगोस
CFK,"","",""
CFN,Dongloe,دنقلا ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟,डॉंग्लो
CFR,Caen,كاين,कॅन
CFS,Coffs Harbour,كوفس هاربر,कॉफ़्स हार्बर
CFU,Corfu,كورفو,कोर्फू
