city_code,city_name_en,city_name_hi,city_name_ar
BEJ,Tanjung Redep Borneo Island,टनजंग रेडेप बोर्नियो आइलॅंड,جزيرة تانجونج ريديب بورنيو
BEL,Belem,बेलेम,بيليم
BEN,Benghazi,बेंगाज़ी,بنغازي
BES,Brest,ब्रेस्ट,بريست
BET,Bethel,बेतेल,بيثيل
BEW,Beira,बीरा,بيرا
BEY,Beirut,बेरूत,بيروت
BFD,Bradford,ब्रैडफोर्ड,برادفورد
SEA,Seattle,सिएटल,سياتل
BFJ,Bijie,बीजीए,
BFL,Bakersfield,बेकर्सफील्ड,بيكرسفيلد
BFN,Bloemfontein,ब्लोइमफोंटेइन,بلومفونتين
BFQ,Bahia Pi¤a,बाहिया पीया,
BFS,Belfast,बेलफास्ट,بلفاست
BFV,Buri Ram,बुरी राम,بوري رام
BGA,Bucaramanga,बुकरमंगा,بوكارامانغا
BGC,"","",""
BGF,Bangui,बांगुइ,بانغي
BGG,Bingol,बिंगोल,
BGI,Bridge Town,ब्रिज टाउन,بريدج تاون
BGM,Binghamton Endicott Johnson City,बिगॅम्टन एनडिकॉट जॉनसन सिटी,بينغهامتون / إنديكوت / جونسون سيتي
BGO,Bergen,बर्गन,بيرغن
BGR,Bangor,बेंगोर,بانجور
BGW,Baghdad,बगदाद,بغداد
MIL,Milan,मिलान,ميلان
BHB,Bar Harbor,बार हार्बर,بار هاربر
BHE,Woodbourne,वुडबॉर्न,وودبورن
BHH,Bisha,बिशा,بيشة
BHI,Bahia Blanca,बहिआ  ब्लांका,باهيا بلانكا
BHJ,Bhuj,भुज,بوج
BHK,Bukhara,बुखारा,بخارى
BHM,Birmingham,बर्मिंघम,برمنغهام
BHO,Bhopal,भोपाल,بوبال
BHQ,Broken Hill,ब्रोकन हिल,
BHR,Bharatpur,भरतपुर,
BHS,Bathurst,बाथर्स्ट,
BHU,"","",""
BHV,Bahawalpur,बहावलपुर,باهاوالبور
BHX,Birmingham,बर्मिंघम,برمنغهام
BHY,Beihai,बिहाई,بيهاي
BIA,Bastia,बस्तिया,باستيا
BIL,Billings,बिलिंग्स,بيلينغز
BIM,Alice Town,अलाइस टाउन,أليس تاون
BIN,Bamyan,बामयान,
