carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
RM,active,Aircompany Armenia,aircompany-armenia-airlines,Aircompany Armenia,aircompany-armenia-airlines
RMK,active,Simrik Airlines,simrik-airlines,Simrik Airlines,simrik-airlines
RNX,active,1 Time,1-time-airlines,1 Time,1-time-airlines
RP,active,Base Airlines,base-airlines,Base Airlines,base-airlines
RRV,active,Mombassa Air Safari,mombassa-air-safari-airlines,Mombassa Air Safari,mombassa-air-safari-airlines
RS,active,Air Seoul,air-seoul-airlines,"Air Seoul, Inc",air-seoul-inc-airlines
RSE,active,Snas Aviation,snas-aviation-airlines,Snas Aviation,snas-aviation-airlines
RSI,active,Air Sunshine,air-sunshine-airlines,Air Sunshine,air-sunshine-airlines
RT,inactive,Uvt Aero,,RAK Airways,rak-airways-airlines
RU,active,Airbridgecargo,airbridgecargo-airlines,Airbridgecargo,airbridgecargo-airlines
RV,active,Air Canada Rouge,air-canada-rouge-airlines,Air Canada Rouge,air-canada-rouge-airlines
RW,active,Royal Air Charter Services Inc,royal-air-charter-services-inc-airlines,Royal Air Charter Services Inc,royal-air-charter-services-inc-airlines
RY,active,Jiangxi Air,jiangxi-air-airlines,Jiangxi Air,jiangxi-air-airlines
S0,active,Aero Lineas Sosa,aero-lineas-sosa-airlines,Aero Lineas Sosa,aero-lineas-sosa-airlines
S2,inactive,Jetkonnect,,JetLite,jetlite-airlines
S5,active,Shuttle America,shuttle-america-airlines,Shuttle America,shuttle-america-airlines
S6,active,Sunrise Airways,sunrise-airways-airlines,Sunrise Airways,sunrise-airways-airlines
S8,active,Sounds Air,sounds-air-airlines,Sounds Air,sounds-air-airlines
SB,active,Air Caledonie International,air-caledonie-international-airlines,Air Caledonie International,air-caledonie-international-airlines
SBK,active,Blue Sky Aviation,blue-sky-aviation-airlines,Blue Sky Aviation,blue-sky-aviation-airlines
SDR,active,Sundair,sundair-airlines,Sundair,sundair-airlines
SE,active,Xl Airways France,xl-airways-france-airlines,Xl Airways France,xl-airways-france-airlines
SF,active,Tassili Airlines,tassili-airlines,Tassili Airlines,tassili-airlines
SGB,active,Songbird Airways,songbird-airways-airlines,"Songbird Airways, Inc.",songbird-airways-inc-airlines
SH,inactive,Sharp Airlines,,Sharp Airlines,sharp-airlines
SHA,active,Shree Airlines,shree-airlines,Shree Airlines,shree-airlines
SKP,active,Skytrans Airlines,skytrans-airlines,Skytrans Airlines,skytrans-airlines
SL,active,Thai Lion Air,thai-lion-air-airlines,Thai Lion Air,thai-lion-air-airlines
SLD,active,Silver Air,silver-air-airlines,Silver Air,silver-air-airlines
SM,active,Air Cairo,air-cairo-airlines,Air Cairo,air-cairo-airlines
SNB,active,Sterling,sterling-airlines,Sterling,sterling-airlines
