carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
K3,active,Taquan Air,taquan-air-airlines,Taquan Air,taquan-air-airlines
K5,active,Wings of Alaska,wings-of-alaska-airlines,Wings of Alaska,wings-of-alaska-airlines
K6,active,Cambodia Angkor Air,cambodia-angkor-air-airlines,Cambodia Angkor Air,cambodia-angkor-air-airlines
K6,inactive,Bravo Air Congo,,Cambodia Angkor Air,cambodia-angkor-air-airlines
K7,active,Air KBZ,air-kbz-airlines,Air KBZ,air-kbz-airlines
K8,active,Kan Air,kan-air-airlines,Kan Air,kan-air-airlines
KA,active,Dragonair,dragonair-airlines,Dragonair,dragonair-airlines
KB,active,Druk Air,druk-air-airlines,Druk Air,druk-air-airlines
KC,active,Air Astana,air-astana-airlines,Air Astana,air-astana-airlines
KE,active,Korean Air,korean-air-airlines,Korean Air Lines,korean-airlines
KF,inactive,Blue1 Oy,,translation missing: en.airlines.KF,translation-missing-enkf-airlines
KG,active,Key Lime Air,key-lime-air-airlines,Key Lime Air,key-lime-air-airlines
KK,active,Atlasjet,atlasjet-airlines,Atlasjet,atlasjet-airlines
KL,active,KLM Cityhopper,klm-cityhopper-airlines,KLM Royal Dutch,klm-royal-dutch-airlines
KL,inactive,KLM Royal Dutch,,KLM Royal Dutch,klm-royal-dutch-airlines
KM,active,Air Malta,air-malta-airlines,Air Malta,air-malta-airlines
KN,active,China United Airlines,china-united-airlines,China United Airlines,china-united-airlines
KO,active,KHORS Air,khors-air-airlines,KHORS Air,khors-air-airlines
KO,inactive,Kabo Air,,KHORS Air,khors-air-airlines
KO,inactive,Alaska Central Express,,KHORS Air,khors-air-airlines
KP,active,ASKY,asky-airlines,ASKY,asky-airlines
KQ,active,Kenya Airways,kenya-airways-airlines,Kenya Airways,kenya-airways-airlines
KR,inactive,Air Bishkek,,translation missing: en.airlines.KR,translation-missing-enkr-airlines
KR,inactive,Comores Aviation International,,translation missing: en.airlines.KR,translation-missing-enkr-airlines
KS,active,PenAir,penair-airlines,PenAir,penair-airlines
KU,active,Kuwait Airways,kuwait-airways-airlines,Kuwait Airways,kuwait-airways-airlines
KX,active,Cayman Airways,cayman-airways-airlines,Cayman Airways,cayman-airways-airlines
KY,active,Kunming Airlines,kunming-airlines,Kunming Airlines,kunming-airlines
L5,active,Linea Aerea Cuencana,linea-aerea-cuencana-airlines,Linea Aerea Cuencana,linea-aerea-cuencana-airlines
L6,active,Mauritanian Airlines International,mauritanian-international-airlines,Mauritanian Airlines International,mauritanian-international-airlines
L9,active,Belle Air Europe,belle-air-europe-airlines,Bristow U.S. Llc,bristow-us-llc-airlines
LA,active,LAN Airlines,lan-airlines,LAN Airlines,lan-airlines
LB,active,Air Costa,air-costa-airlines,Air Costa,air-costa-airlines
LB,inactive,Lloyd Aéreo Boliviano,,Air Costa,air-costa-airlines
LC,inactive,Equatorial Congo Airlines (ECAIR),,translation missing: en.airlines.LC,translation-missing-enlc-airlines
LC,inactive,Varig Log,,translation missing: en.airlines.LC,translation-missing-enlc-airlines
LF,active,FlyNordic,flynordic-airlines,FlyNordic / NordicAirlink,flynordic-nordicairlink-airlines
LG,active,Luxair,luxair-airlines,Luxair,luxair-airlines
LH,active,Lufthansa,lufthansa-airlines,Lufthansa,lufthansa-airlines
LH,inactive,Lufthansa Cargo,,Lufthansa,lufthansa-airlines
LI,active,LIAT,liat-airlines,LIAT,liat-airlines
LJ,active,Jin Air,jin-air-airlines,Jin Air,jin-air-airlines
LJ,inactive,Sierra National Airlines,,Jin Air,jin-air-airlines
LM,active,Loganair,loganair-airlines,Loganair,loganair-airlines
LM,inactive,Livingston,,Loganair,loganair-airlines
LN,active,Libyan Airlines,libyan-airlines,Libyan Airlines,libyan-airlines
LO,active,LOT Polish Air,lot-polish-air-airlines,LOT Polish Air,lot-polish-air-airlines
LP,active,Lan Peru S.A.,lan-peru-sa-airlines,Lan Peru S.A.,lan-peru-sa-airlines
LR,active,LACSA,lacsa-airlines,LACSA,lacsa-airlines
LT,active,LTU  InternationalAirways,ltu-internationalairways-airlines,LTU  InternationalAirways,ltu-internationalairways-airlines
LV,inactive,Albanian Airlines,,translation missing: en.airlines.LV,translation-missing-enlv-airlines
LW,active,Pacific Wings,pacific-wings-airlines,Pacific Wings,pacific-wings-airlines
LX,active,Swiss International Airlines,swiss-international-airlines,Swiss International Airlines,swiss-international-airlines
LX,inactive,Swiss Global Air Lines,,Swiss International Airlines,swiss-international-airlines
LY,active,El Al Israel Air,el-al-israel-air-airlines,El Al Israel Air,el-al-israel-air-airlines
LZ,active,Belle Air,belle-air-airlines,Belle Air,belle-air-airlines
M3,active,North Flying,north-flying-airlines,LATAM Cargo Brasil,latam-cargo-brasil-airlines
M3,inactive,Tucson International Airport,,LATAM Cargo Brasil,latam-cargo-brasil-airlines
M3,inactive,LATAM Cargo Brasil,,LATAM Cargo Brasil,latam-cargo-brasil-airlines
M4,active,Nova Air,nova-air-airlines,Smart Aviation Company,smart-aviation-company-airlines
M4,inactive,Smart Aviation Company,,Smart Aviation Company,smart-aviation-company-airlines
M7,active,MasAir,masair-airlines,MasAir,masair-airlines
M7,inactive,Marsland Aviation,,MasAir,masair-airlines
M9,active,Motor Sich,motor-sich-airlines,Motor Sich,motor-sich-airlines
MA,inactive,Malev Hungarian,,translation missing: en.airlines.MA,translation-missing-enma-airlines
MD,active,Air Madagascar,air-madagascar-airlines,Air Madagascar,air-madagascar-airlines
MF,active,Xiamen Airlines,xiamen-airlines,Xiamen Airlines,xiamen-airlines
MH,active,Malaysia Airlines,malaysia-airlines,Malaysia Airlines,malaysia-airlines
MI,active,SilkAir,silkair-airlines,SilkAir (S) Pte,silkair-s-pte-airlines
MJ,inactive,Mihin Lanka,,translation missing: en.airlines.MJ,translation-missing-enmj-airlines
MK,active,Air Mauritius,air-mauritius-airlines,Air Mauritius,air-mauritius-airlines
ML,inactive,Air Mediterranee,,translation missing: en.airlines.ML,translation-missing-enml-airlines
MM,active,Peach Aviation,peach-aviation-airlines,Peach Aviation,peach-aviation-airlines
MM,inactive,Peach Aviation,,Peach Aviation,peach-aviation-airlines
MM,inactive,SAM Colombia,,Peach Aviation,peach-aviation-airlines
MO,active,Calm Air Intl,calm-air-intl-airlines,Calm Air Intl,calm-air-intl-airlines
MP,active,Martinair Holland,martinair-holland-airlines,Martinair Holland,martinair-holland-airlines
MR,active,Air Mauritanie,air-mauritanie-airlines,Hunnu Air,hunnu-air-airlines
MS,active,EgyptAir,egyptair-airlines,Egyptair Express,egyptair-express-airlines
MS,inactive,Egyptair Express,,Egyptair Express,egyptair-express-airlines
MU,active,China Eastern Air,china-eastern-air-airlines,China Eastern Air,china-eastern-air-airlines
MW,active,Mokulele,mokulele-airlines,Mokulele,mokulele-airlines
MW,inactive,Maya Island Air,,Mokulele,mokulele-airlines
MX,inactive,Mexicana,,translation missing: en.airlines.MX,translation-missing-enmx-airlines
MY,inactive,Midwest Airlines,,translation missing: en.airlines.MY,translation-missing-enmy-airlines
N3,inactive,Aerolineas MAS,,translation missing: en.airlines.N3,translation-missing-enn3-airlines
N3,inactive,Omskavia,,translation missing: en.airlines.N3,translation-missing-enn3-airlines
N7,active,Lagun Air,lagun-air-airlines,Lagun Air,lagun-air-airlines
NA,active,Teebah  Airlines,teebah-airlines,Teebah  Airlines,teebah-airlines
NB,active,Sterling  Airlines,sterling-airlines,Sterling  Airlines,sterling-airlines
NF,active,Air Vanuatu,air-vanuatu-airlines,Vanuatu,vanuatu-airlines
NK,active,Spirit Airlines,spirit-airlines,Spirit Airlines,spirit-airlines
NL,active,Shaheen Air,shaheen-air-airlines,Shaheen Air,shaheen-air-airlines
NP,active,Nile Air,nile-air-airlines,Nile Air,nile-air-airlines
NQ,active,Air Japan,air-japan-airlines,Air Japan,air-japan-airlines
NS,active,Hebei Airlines,hebei-airlines,Hebei Airlines,hebei-airlines
NT,active,Binter Canarias,binter-canarias-airlines,Binter Canarias,binter-canarias-airlines
NU,active,Japan Transocean Air,japan-transocean-air-airlines,Japan Transocean Air,japan-transocean-air-airlines
NV,active,Air Central,air-central-airlines,Air Central,air-central-airlines
NW,inactive,Northwest  Airlines,,translation missing: en.airlines.NW,translation-missing-ennw-airlines
NX,active,Air Macau Limited,air-macau-limited-airlines,Air Macau Limited,air-macau-limited-airlines
NY,active,Air Iceland,air-iceland-airlines,Air Iceland,air-iceland-airlines
NZ,active,Air New Zealand,air-new-zealand-airlines,Air New Zealand,air-new-zealand-airlines
O4,active,Antrak Air,antrak-air-airlines,Antrak Air,antrak-air-airlines
O6,active,Avianca Brazil,avianca-brazil-airlines,Avianca Brazil,avianca-brazil-airlines
O9,active,Nova Airways,nova-airways-airlines,Nova Airways,nova-airways-airlines
OA,active,Olympic Airlines,olympic-airlines,Olympic Airlines,olympic-airlines
OB,active,Boliviana de Aviación,boliviana-de-aviacin-airlines,Boliviana de Aviación,boliviana-de-aviacin-airlines
OC,active,Oriental Air Bridge,oriental-air-bridge-airlines,Oriental Air Bridge,oriental-air-bridge-airlines
OD,active,Malindo Air,malindo-air-airlines,Malindo Air,malindo-air-airlines
OG,inactive,Air Onix,,translation missing: en.airlines.OG,translation-missing-enog-airlines
OG,inactive,One-Two-GO Airlines,,translation missing: en.airlines.OG,translation-missing-enog-airlines
OK,active,Czech Airlines,czech-airlines,Czech Airlines,czech-airlines
OL,active,OLT Express Germany,olt-express-germany-airlines,OLTOstfriesische,oltostfriesische-airlines
OM,active,MIAT Mongolian,miat-mongolian-airlines,MIAT Mongolian,miat-mongolian-airlines
ON,active,Nauru Airlines,nauru-airlines,translation missing: en.airlines.ON,translation-missing-enon-airlines
OS,active,Austrian Airlines,austrian-airlines,Austrian Airlines,austrian-airlines
OU,active,Croatia Airlines,croatia-airlines,Croatia Airlines,croatia-airlines
OV,active,Estonian Air,estonian-air-airlines,Estonian Air,estonian-air-airlines
OX,active,Orient Thai Airlines,orient-thai-airlines,Orient Thai Airlines,orient-thai-airlines
OY,active,Andes Líneas Aéreas,andes-lneas-areas-airlines,Omni Air Express,omni-air-express-airlines
OY,inactive,Omni Air Express,,Omni Air Express,omni-air-express-airlines
OZ,active,Asiana Airlines,asiana-airlines,Asiana Airlines,asiana-airlines
P2,active,Airkenya Express,airkenya-express-airlines,Airkenya Express,airkenya-express-airlines
P4,active,AerolÃ­neas Sosa,aerolneas-sosa-airlines,Aerolíneas Sosa,aerolneas-sosa-airlines
P6,active,Pascan Aviation,pascan-aviation-airlines,Pascan Aviation,pascan-aviation-airlines
P9,active,Asia Pacific Airlines,asia-pacific-airlines,Asia Pacific Airlines,asia-pacific-airlines
PA,active,Airblue,airblue-airlines,Airblue,airblue-airlines
PB,active,Provincial Air,provincial-air-airlines,Provincial Air,provincial-air-airlines
PC,active,Continental Airways,continental-airways-airlines,Pegasus Airlines,pegasus-airlines
PC,inactive,Pegasus Airlines,,Pegasus Airlines,pegasus-airlines
PC,inactive,Air Fiji,,Pegasus Airlines,pegasus-airlines
PD,active,Porter Airlines,porter-airlines,Porter Airlines,porter-airlines
PE,active,Peoples Viennaline,peoples-viennaline-airlines,Peoples Viennaline,peoples-viennaline-airlines
PG,active,Bangkok Airways,bangkok-airways-airlines,Bangkok Airways,bangkok-airways-airlines
PJ,active,Air St. Pierre,air-st-pierre-airlines,Air St. Pierre,air-st-pierre-airlines
PK,active,Pakistan International Airlines,pakistan-international-airlines,Pakistan Intl Air,pakistan-intl-air-airlines
PL,active,Airstars,airstars-airlines,Southern Air Charters,southern-air-charters-airlines
PL,inactive,Southern Air Charters,,Southern Air Charters,southern-air-charters-airlines
PM,active,CanaryFly,canaryfly-airlines,CanaryFly,canaryfly-airlines
PN,active,West Air,west-air-airlines,West Air,west-air-airlines
PR,active,Philippine Airlines,philippine-airlines,Philippine Airlines,philippine-airlines
PS,active,Ukraine International Airlines,ukraine-international-airlines,Ukraine Intl Air,ukraine-intl-air-airlines
PU,active,Pluna Uruguayas,pluna-uruguayas-airlines,Pluna Uruguayas,pluna-uruguayas-airlines
PV,active,PAN Air,pan-air-airlines,PAN Air,pan-air-airlines
PW,active,Precision Air,precision-air-airlines,Precision Air,precision-air-airlines
PX,active,Air Niugini Pty,air-niugini-pty-airlines,Air Niugini Pty,air-niugini-pty-airlines
PY,active,Surinam Airways,surinam-airways-airlines,Surinam Airways,surinam-airways-airlines
PZ,active,TAM Mercosur,tam-mercosur-airlines,TAM Mercosur,tam-mercosur-airlines
Q2,active,Maldivian,maldivian-airlines,Maldivian,maldivian-airlines
Q3,active,Trans Anguilla Airways,trans-anguilla-airways-airlines,Trans Anguilla Airways,trans-anguilla-airways-airlines
Q6,active,Aero Condor Peru,aero-condor-peru-airlines,Skytrans Airlines,skytrans-airlines
Q6,inactive,Skytrans Airlines,,Skytrans Airlines,skytrans-airlines
Q7,active,Sky Bahamas,sky-bahamas-airlines,Sky Bahamas,sky-bahamas-airlines
Q8,active,Pacific East Asia Cargo Airlines,pacific-east-asia-cargo-airlines,Pacific East Asia Cargo Airlines,pacific-east-asia-cargo-airlines
Q9,active,Afrinat International Airlines,afrinat-international-airlines,Afrinat International Airlines,afrinat-international-airlines
QC,active,Cameroon Airlines,cameroon-airlines,Cameroon Airlines,cameroon-airlines
QF,active,Eastern Australia Airlines,eastern-australia-airlines,Sunstate Airlines,sunstate-airlines
QF,inactive,Sunstate Airlines,,Sunstate Airlines,sunstate-airlines
QF,inactive,Qantas,,Sunstate Airlines,sunstate-airlines
QG,active,Citilink,citilink-airlines,Citilink,citilink-airlines
QH,active,Air Kyrgyzstan,air-kyrgyzstan-airlines,Kyrgyzstan Airlines,kyrgyzstan-airlines
QI,inactive,Cimber Air,,translation missing: en.airlines.QI,translation-missing-enqi-airlines
QM,active,Air Malawi,air-malawi-airlines,Air Malawi,air-malawi-airlines
QN,inactive,Air Armenia,,translation missing: en.airlines.QN,translation-missing-enqn-airlines
QR,active,Qatar Airways,qatar-airways-airlines,Qatar Airways,qatar-airways-airlines
QS,active,Travel Service Airlines,travel-service-airlines,Travel Service Airlines,travel-service-airlines
QU,active,East African Airlines,east-african-airlines,UTair-Ukraine,utair-ukraine-airlines
QU,inactive,Azur Air Ukraine,,UTair-Ukraine,utair-ukraine-airlines
QV,active,Lao Aviation,lao-aviation-airlines,Lao Aviation,lao-aviation-airlines
R2,active,Orenair,orenair-airlines,Transair Senegal,transair-senegal-airlines
R3,active,Yakutia Airlines,yakutia-airlines,Yakutia Airlines,yakutia-airlines
R7,active,Aserca Airlines,aserca-airlines,Aserca Airlines,aserca-airlines
RA,active,Nepal Airlines,nepal-airlines,Royal Nepal Corp,royal-nepal-corp-airlines
RB,active,Syrian Arab Air,syrian-arab-air-airlines,Syrian Arab Air,syrian-arab-air-airlines
RC,active,Atlantic Airways,atlantic-airways-airlines,Atlantic Faroe Is,atlantic-faroe-is-airlines
RE,active,Aer Arann,aer-arann-airlines,Aer Arann,aer-arann-airlines
RG,active,Varig S.A.,varig-sa-airlines,Varig S.A.,varig-sa-airlines
RI,inactive,Tigerair Mandala,,translation missing: en.airlines.RI,translation-missing-enri-airlines
RJ,active,Royal Jordanian,royal-jordanian-airlines,Royal Jordanian,royal-jordanian-airlines
RO,active,Tarom,tarom-airlines,Tarom,tarom-airlines
RQ,active,Kam Air,kam-air-airlines,Kam Air,kam-air-airlines
RT,active,RAK Airways,rak-airways-airlines,RAK Airways,rak-airways-airlines
RX,active,Regent Airways,regent-airways-airlines,Regent Airways,regent-airways-airlines
RZ,active,Sansa Airlines,sansa-airlines,Sansa Airlines,sansa-airlines
S2,active,JetLite,jetlite-airlines,JetLite,jetlite-airlines
S3,active,Santa Barbara Air,santa-barbara-air-airlines,Santa Barbara Air,santa-barbara-air-airlines
S4,active,Azores Airlines,azores-airlines,SATA Intl Servicos,sata-intl-servicos-airlines
S7,active,Siberia Airlines,siberia-airlines,Siberia Airlines,siberia-airlines
S9,active,Starbow,starbow-airlines,Starbow,starbow-airlines
SA,active,South African,south-african-airlines,South African,south-african-airlines
SC,active,Shandong Airlines,shandong-airlines,Shandong Airlines,shandong-airlines
SD,active,Sudan Airways Co,sudan-airways-co-airlines,Sudan Airways Co,sudan-airways-co-airlines
SG,active,SpiceJet,spicejet-airlines,SpiceJet,spicejet-airlines
SH,active,Sharp Airlines,sharp-airlines,Sharp Airlines,sharp-airlines
SI,active,Air Arabia Jordan,air-arabia-jordan-airlines,Sierra Pacific Airlines,sierra-pacific-airlines
SI,inactive,Blue Islands,,Sierra Pacific Airlines,sierra-pacific-airlines
SI,inactive,Sierra Pacific Airlines,,Sierra Pacific Airlines,sierra-pacific-airlines
SJ,active,Sriwijaya Air,sriwijaya-air-airlines,Sriwijaya Air,sriwijaya-air-airlines
SJ,inactive,Seagle Air,,Sriwijaya Air,sriwijaya-air-airlines
SK,active,Scandinavian SAS,scandinavian-sas-airlines,Scandinavian SAS,scandinavian-sas-airlines
SK,inactive,SAS Braathens,,Scandinavian SAS,scandinavian-sas-airlines
SN,active,Brussels Airlines,brussels-airlines,Brussels Airlines,brussels-airlines
SP,active,SATA - Air Acores,sata-air-acores-airlines,SATA - Air Acores,sata-air-acores-airlines
SQ,active,Singapore Airlines,singapore-airlines,Singapore Airlines,singapore-airlines
ST,active,Germania,germania-airlines,Germania,germania-airlines
SU,active,Aeroflot-Cargo,aeroflot-cargo-airlines,Aeroflot Russian Airlines,aeroflot-russian-airlines
SU,inactive,Aeroflot Russian Airlines,,Aeroflot Russian Airlines,aeroflot-russian-airlines
SV,active,Saudi Arabian Air,saudi-arabian-air-airlines,Saudi Arabian Air,saudi-arabian-air-airlines
SW,active,Air Namibia,air-namibia-airlines,Air Namibia,air-namibia-airlines
SX,active,Sky Work Airlines,sky-work-airlines,Sky Work Airlines,sky-work-airlines
SX,inactive,Macedonian Airlines,,Sky Work Airlines,sky-work-airlines
SY,active,Sun Country Air,sun-country-air-airlines,Sun Country Air,sun-country-air-airlines
SZ,active,Somon Air,somon-air-airlines,Somon Air,somon-air-airlines
T3,active,Eastern Airways,eastern-airways-airlines,Eastern Airways,eastern-airways-airlines
T5,active,Turkmenistan Airlines,turkmenistan-airlines,Turkmenistan Airlines,turkmenistan-airlines
T7,active,Twin Jet,twin-jet-airlines,Twin Jet,twin-jet-airlines
TA,active,TACA Airlines,taca-airlines,Taca Intl Air,taca-intl-air-airlines
TC,active,Air Tanzania,air-tanzania-airlines,Air Tanzania,air-tanzania-airlines
TD,active,Atlantis European Airways,atlantis-european-airways-airlines,Atlantis European Airways,atlantis-european-airways-airlines
TE,active,Lithuanian  Airlines,lithuanian-airlines,Lithuanian  Airlines,lithuanian-airlines
TF,active,Malmo Aviation,malmo-aviation-airlines,Malmo Aviation,malmo-aviation-airlines
TG,active,Thai Airways,thai-airways-airlines,Thai Airways,thai-airways-airlines
TJ,active,Tradewinds Airlines,tradewinds-airlines,Tradewind Aviation,tradewind-aviation-airlines
TK,active,Turkish Airlines,turkish-airlines,Turkish Airlines,turkish-airlines
TL,active,Airnorth Regional,airnorth-regional-airlines,Airnorth Regional,airnorth-regional-airlines
TLR,active,Air Libya,air-libya-airlines,Air Libya,air-libya-airlines
TM,active,LAM Mozambique Airlines,lam-mozambique-airlines,LAM Mocambique,lam-mocambique-airlines
TN,active,Air Tahiti Nui,air-tahiti-nui-airlines,Air Tahiti Nui,air-tahiti-nui-airlines
TP,active,TAP Portugal,tap-portugal-airlines,TAP Portugal,tap-portugal-airlines
TQ,active,Tandem Aero,tandem-aero-airlines,Tandem Aero,tandem-aero-airlines
TR,active,Tiger Airways,tiger-airways-airlines,Tiger Airways,tiger-airways-airlines
TS,active,Air Transat,air-transat-airlines,Air Transat,air-transat-airlines
TU,active,Tunisair,tunisair-airlines,Tunisair,tunisair-airlines
TW,active,Tway Airlines,tway-airlines,Tway Airlines,tway-airlines
TX,active,Air Caraibes,air-caraibes-airlines,Air Caraibes,air-caraibes-airlines
TY,active,Air Calédonie,air-caldonie-airlines,Air Calédonie,air-caldonie-airlines
U2,active,easyJet,easyjet-airlines,easyJet,easyjet-airlines
U5,active,USA3000,usa3000-airlines,USA3000,usa3000-airlines
U6,active,Ural Airlines,ural-airlines,Ural Airlines,ural-airlines
U9,inactive,Tatarstan Airlines,,translation missing: en.airlines.U9,translation-missing-enu9-airlines
UA,active,United,united-airlines,United,united-airlines
UD,inactive,HexAir,,translation missing: en.airlines.UD,translation-missing-enud-airlines
UF,inactive,UM Airlines,,translation missing: en.airlines.UF,translation-missing-enuf-airlines
UG,active,SevenAir,sevenair-airlines,TunisAir Express,tunisair-express-airlines
UG,inactive,TunisAir Express,,TunisAir Express,tunisair-express-airlines
UJ,active,AlMasria Universal Airlines,almasria-universal-airlines,AlMasria Universal Airlines,almasria-universal-airlines
UJ,inactive,Magnicharters,,AlMasria Universal Airlines,almasria-universal-airlines
UK,active,Vistara Airlines,vistara-airlines,Vistara Airlines,vistara-airlines
UL,active,SriLankan Airlines,srilankan-airlines,SriLankan Airlines,srilankan-airlines
UM,active,Air Zimbabwe (Pvt),air-zimbabwe-pvt-airlines,Air Zimbabwe (Pvt),air-zimbabwe-pvt-airlines
UN,active,Transaero Airlines,transaero-airlines,Transaero Airlines,transaero-airlines
UO,active,HongKong Express,hongkong-express-airlines,HongKong Express,hongkong-express-airlines
UP,active,Bahamasair,bahamasair-airlines,Bahamasair,bahamasair-airlines
UR,inactive,UTair Express,,translation missing: en.airlines.UR,translation-missing-enur-airlines
US,inactive,US Airways,,US Airways,us-airways-airlines
US,inactive,Piedmont Airlines,,US Airways,us-airways-airlines
UT,active,UTair,utair-airlines,UTair,utair-airlines
UU,active,Air Austral,air-austral-airlines,Air Austral,air-austral-airlines
UX,active,Air Europa,air-europa-airlines,Air Europa,air-europa-airlines
V0,active,ConViasa,conviasa-airlines,ConViasa,conviasa-airlines
V3,active,Carpatair S.A.,carpatair-sa-airlines,Carpatair S.A.,carpatair-sa-airlines
V4,active,Vensecar Internacional,vensecar-internacional-airlines,Vensecar Internacional,vensecar-internacional-airlines
V5,active,Avolar Aerolíneas,avolar-aerolneas-airlines,Aerovias Dap S.A.,aerovias-dap-sa-airlines
V5,inactive,Pace Airlines,,Aerovias Dap S.A.,aerovias-dap-sa-airlines
V7,active,Air Senegal Intl,air-senegal-intl-airlines,Air Senegal Intl,air-senegal-intl-airlines
V8,active,Atran,atran-airlines,Atran,atran-airlines
V9,active,Van Air Europe,van-air-europe-airlines,Van Air Europe,van-air-europe-airlines
VA,active,Virgin Australia,virgin-australia-airlines,Virgin Australia,virgin-australia-airlines
VB,active,Aeroenlaces Nacionale,aeroenlaces-nacionale-airlines,Aeroenlaces Nacionale,aeroenlaces-nacionale-airlines
VF,active,Valuair Ltd.,valuair-ltd-airlines,Valuair Ltd.,valuair-ltd-airlines
VG,inactive,VLM  Airlines,,translation missing: en.airlines.VG,translation-missing-envg-airlines
VH,inactive,Aeropostal Alas de Venezuela,,translation missing: en.airlines.VH,translation-missing-envh-airlines
VJ,active,VietJet Air,vietjet-air-airlines,VietJet Air,vietjet-air-airlines
VJ,inactive,Jatayu Airlines,,VietJet Air,vietjet-air-airlines
VK,inactive,Virgin Nigeria,,translation missing: en.airlines.VK,translation-missing-envk-airlines
VM,active,Macair Jet,macair-jet-airlines,Max Air,max-air-airlines
A0,active,Avianca Argentina,avianca-argentina-airlines,Avianca Argentina,avianca-argentina-airlines
VN,active,Vietnam Airlines,vietnam-airlines,Vietnam Airlines,vietnam-airlines
VP,active,VASP,vasp-airlines,VASP Viação Aérea São Paulo,vasp-viao-area-so-paulo-airlines
VS,active,Virgin Atlantic,virgin-atlantic-airlines,Virgin Atlantic,virgin-atlantic-airlines
VT,active,Air Tahiti,air-tahiti-airlines,Air Tahiti,air-tahiti-airlines
VV,active,AeroSvit  Airlines,aerosvit-airlines,AeroSvit  Airlines,aerosvit-airlines
VW,active,Aeromar,aeromar-airlines,Aeromar,aeromar-airlines
VX,active,Virgin America,virgin-america-airlines,Virgin America,virgin-america-airlines
VY,active,Vueling Airlines,vueling-airlines,Vueling Airlines,vueling-airlines
W2,active,Flexflight,flexflight-airlines,Flexflight,flexflight-airlines
W2,inactive,White Eagle Aviation,,Flexflight,flexflight-airlines
W3,active,Swiftair,swiftair-airlines,Swiftair,swiftair-airlines
W3,inactive,Arik Air,,Swiftair,swiftair-airlines
W3,inactive,DOT LT,,Swiftair,swiftair-airlines
W4,active,LC Perú,lc-per-airlines,LC Perú,lc-per-airlines
W4,inactive,Aero Services Executive,,LC Perú,lc-per-airlines
W5,active,Mahan Airlines,mahan-airlines,Mahan Airlines,mahan-airlines
W6,active,Wizz Air,wizz-air-airlines,Wizz Air,wizz-air-airlines
W9,inactive,Air Bagan,,translation missing: en.airlines.W9,translation-missing-enw9-airlines
WB,active,Rwandair Express,rwandair-express-airlines,Rwandair Express,rwandair-express-airlines
WC,inactive,Islena Airlines,,translation missing: en.airlines.WC,translation-missing-enwc-airlines
WEW,active,West Wind Aviation,west-wind-aviation-airlines,West Wind Aviation,west-wind-aviation-airlines
WF,active,Wideroes Fly,wideroes-fly-airlines,Wideroes Fly,wideroes-fly-airlines
WG,active,Sunwing Airlines,sunwing-airlines,Sunwing Airlines,sunwing-airlines
WH,inactive,West African Airline,,translation missing: en.airlines.WH,translation-missing-enwh-airlines
WJ,inactive,Labrador Limited,,translation missing: en.airlines.WJ,translation-missing-enwj-airlines
WM,active,Windward Is Intl,windward-is-intl-airlines,Windward Is Intl,windward-is-intl-airlines
WO,inactive,World Airways,,translation missing: en.airlines.WO,translation-missing-enwo-airlines
WP,active,Hawaii Island Air,hawaii-island-air-airlines,Island Air,island-air-airlines
WR,active,Aviaprad  Airlines,aviaprad-airlines,Aviaprad  Airlines,aviaprad-airlines
WS,active,WestJet,westjet-airlines,WestJet,westjet-airlines
WT,active,Wasaya Airways,wasaya-airways-airlines,Wasaya Airways,wasaya-airways-airlines
WU,active,Wizz Air Ukraine,wizz-air-ukraine-airlines,Wizz Air Ukraine,wizz-air-ukraine-airlines
WW,active,bmiBaby,bmibaby-airlines,bmiBaby,bmibaby-airlines
WY,active,Oman Air,oman-air-airlines,Oman Air,oman-air-airlines
X01,inactive,Zexus Air,,translation missing: en.airlines.X01,translation-missing-enx01-airlines
X02,inactive,Zav Airways,,translation missing: en.airlines.X02,translation-missing-enx02-airlines
X05,inactive,Premier Airways,,translation missing: en.airlines.X05,translation-missing-enx05-airlines
X3,active,TUIfly,tuifly-airlines,TUIfly,tuifly-airlines
X7,inactive,Chitaavia,,translation missing: en.airlines.X7,translation-missing-enx7-airlines
X7,inactive,Air Service Gabon,,translation missing: en.airlines.X7,translation-missing-enx7-airlines
X9,active,Avion Express,avion-express-airlines,Avion Express,avion-express-airlines
XE,active,ExpressJet  Airlines,expressjet-airlines,ExpressJet  Airlines,expressjet-airlines
XF,inactive,Vladivostok Air,,translation missing: en.airlines.XF,translation-missing-enxf-airlines
XG,active,Clickair,clickair-airlines,Sunexpress Deutschland Gmbh,sunexpress-deutschland-gmbh-airlines
XK,active,Air Corsica,air-corsica-airlines,Compagnie Corse,compagnie-corse-airlines
XL,active,Lan Ecuador Aero,lan-ecuador-aero-airlines,Lan Ecuador Aero,lan-ecuador-aero-airlines
XQ,active,SunExpress,sunexpress-airlines,SunExpress,sunexpress-airlines
XU,active,African Express Airways,african-express-airways-airlines,African Express Airways,african-express-airways-airlines
XV,inactive,BVI Airways,,translation missing: en.airlines.XV,translation-missing-enxv-airlines
XY,active,FlyNas Airlines,flynas-airlines,FlyNas Airlines,flynas-airlines
Y4,active,Volaris,volaris-airlines,Volaris,volaris-airlines
Y5,active,Golden Myanmar Airlines,golden-myanmar-airlines,Golden Myanmar Airlines,golden-myanmar-airlines
